Abílio Silva.
Adelaide Lobato.
Adosindo Bahia.
Adosindo Borja.
Afonso Mesquita.
Alarico Guerra.
Aldonça Ribeiro.
Almeno Barroso.
Almerinda Rocha.
Alvito Puerto.
Andreia Simões.
Angelino Angelim.
Aniana Batata.
Antonieta Cunha.
Boaventura Carqueijeiro.
Carla Quinta.
Claudemiro Padilha.
Cora Cachoeira.
Cristina Caiapó.
Cátia Coello.
Davide Fontoura.
Diana Moutinho.
Diana Quintais.
Dino Carrillo.
Dino Casqueira.
Dália Marroquim.
Eugénia Moraes.
Firmina Guedelha.
Firmino Tigre.
Floriano Avelar.
Frutuoso Falcão.
Gilda Loureiro.
Glauco Amorín.
Guterre Saraíba.
Herculano Castella.
Ilduara Morais.
Isadora Vilariça.
Isidro Casquero.
Itiberê Rosario.
Jamari Acevedo.
Joaquim Festas.
Joaquina Neiva.
João Bogado.
Judá Alcoforado.
Juliano Antas.
Leopoldina Lagos.
Leopoldo Farinha.
Liana Quintão.
Lucinda Feijó.
Mafalda Pérez.
Manuel Boga.
Manuel Nobre.
Manuela Quintella.
Mara Infante.
Margarida Corte.-Real
Marília Mainha.
Mercedes Barros.
Mercedes Bento.
Miguel Mourato.
Mécia Malafaia.
Napoleão Castel.-Branco
Nelson Poças.
Nestor Cabeça. de Vaca
Nicolas Morales.
Noémia Malheiro.
Nuno Castillo.
Nádia Muñiz.
Ofélia Vilarim.
Otília Quinta.
Peri Moutinho.
Quintiliano Coitinho.
Quintilien Losada.
Ramiro Peçanha.
Ramão Ignacio.
Rita Bello.
Rosário Gonçalves.
Rómulo Pegado.
Rômulo   Castella.
Sandra Bentes.
Sandra Vila.-Chã
Sara Doutel.
Saul Quirós.
Saul Viera.
Sebastião Tristán.
Silvano Canela.
Simeão Avelar.
Siquenique Anlicoara.
Siquenique Trindade.
Sílvia Lucena.
Sônia ou. Sonia   Diniz
Tairine Bonilha.
Telmo Cachoeira.
Valdeci Villanueva.
Verônica   Granjeia.
Vítor ou. Victor Batata
Xénia Malafaia.
Ângela Ferrera.
Ângelo Aleixo.
Élvio Camello.
Élvio Ornelas.
